po_number,equipment_tag,spec_section,vendor,item_description,value_inr,order_date,lead_time_weeks,delivery_status
PO-212200-01,EQ-212200-01,21 22 00,AegisFire,AegisFire CleanAgent ECS-500,4500000,2026-03-01,14,ORDERED
PO-212200-02,EQ-212200-02,21 22 00,AegisFire,AegisFire Detection AFC-4000,3200000,2026-03-01,12,ORDERED
PO-212200-03,EQ-212200-03,21 22 00,PyroTech,PyroTech PT-500 Suppression,4200000,2026-03-01,16,ORDERED
PO-212200-04,EQ-212200-04,21 22 00,SafeGuard,SafeGuard FK-5-1-12 Agent,3900000,2026-03-01,18,ORDERED
PO-211000-01,EQ-211000-01,21 10 00,FireLite,FireLite VESDA-E VEP-A10,2800000,2026-03-01,10,ORDERED
PO-211000-02,EQ-211000-02,21 10 00,FireLite,FireLite Addressable Panel,1500000,2026-03-01,8,ORDERED
PO-211000-03,EQ-211000-03,21 10 00,AegisFire,AegisFire Aspirating ASD,1800000,2026-03-01,12,ORDERED
PO-236426-01,EQ-236426-01,23 64 26,CoolWave,CoolWave CW-500 Chiller,28000000,2026-03-01,28,ORDERED
PO-236426-02,EQ-236426-02,23 64 26,CoolWave,CoolWave CW-350 Chiller,22000000,2026-03-01,26,ORDERED
PO-236426-03,EQ-236426-03,23 64 26,CryoCore,CryoCore CC-400 Chiller,25000000,2026-03-01,30,ORDERED
PO-236426-04,EQ-236426-04,23 64 26,Deccan,Deccan DC-450 Chiller,24000000,2026-03-01,28,ORDERED
PO-238123-01,EQ-238123-01,23 81 23,CryoCore,CryoCore CR-250 CRAH Unit,3500000,2026-03-01,16,ORDERED
PO-238123-02,EQ-238123-02,23 81 23,CryoCore,CryoCore CR-180 CRAH Unit,2800000,2026-03-01,14,ORDERED
PO-238123-03,EQ-238123-03,23 81 23,CoolWave,CoolWave IRC-200 InRow,3200000,2026-03-01,18,ORDERED
PO-238123-04,EQ-238123-04,23 81 23,CoolWave,CoolWave IRC-150 InRow,2600000,2026-03-01,16,ORDERED
PO-238123-05,EQ-238123-05,23 81 23,Trident,Trident TC-220 CRAH,3000000,2026-03-01,20,ORDERED
PO-230900-01,EQ-230900-01,23 09 00,OmniLink,OmniLink BMS-5000 Controller,1800000,2026-03-01,8,ORDERED
PO-230900-02,EQ-230900-02,23 09 00,OmniLink,OmniLink EPMS-3000 Gateway,1200000,2026-03-01,6,ORDERED
PO-230900-03,EQ-230900-03,23 09 00,CryoCore,CryoCore BMS Interface Module,950000,2026-03-01,10,ORDERED
PO-230900-04,EQ-230900-04,23 09 00,CryoCore,CryoCore Sensors Suite,750000,2026-03-01,8,ORDERED
PO-263213-01,EQ-263213-01,26 32 13,Deccan,Deccan DD-2500 Generator 2500kVA,38000000,2026-03-01,40,ORDERED
PO-263213-02,EQ-263213-02,26 32 13,Deccan,Deccan DD-2000 Generator 2000kVA,32000000,2026-03-01,36,ORDERED
PO-263213-03,EQ-263213-03,26 32 13,VoltEdge,VoltEdge VG-1800 Generator,35000000,2026-03-01,38,ORDERED
PO-263213-04,EQ-263213-04,26 32 13,VoltEdge,VoltEdge ATS-3200 Panel,4500000,2026-03-01,20,ORDERED
PO-263353-01,EQ-263353-01,26 33 53,VoltEdge,VoltEdge PX-1200 UPS Module,25000000,2026-03-01,24,ORDERED
PO-263353-02,EQ-263353-02,26 33 53,VoltEdge,VoltEdge Battery Cabinet 576kWh,8500000,2026-03-01,20,ORDERED
PO-263353-03,EQ-263353-03,26 33 53,VoltEdge,VoltEdge PX-800 UPS Module,18000000,2026-03-01,22,ORDERED
PO-263353-04,EQ-263353-04,26 33 53,VoltEdge,VoltEdge Battery Cabinet 400kWh,6200000,2026-03-01,18,ORDERED
PO-263353-05,EQ-263353-05,26 33 53,GreenCell,GreenCell GC-1000 UPS,22000000,2026-03-01,26,ORDERED
PO-263353-06,EQ-263353-06,26 33 53,GreenCell,GreenCell Battery Bank 500kWh,7500000,2026-03-01,22,ORDERED
PO-262413-01,EQ-262413-01,26 24 13,Trident,Trident T-3200 Switchboard,15000000,2026-03-01,28,ORDERED
PO-262413-02,EQ-262413-02,26 24 13,Trident,Trident T-2000 Switchboard,12000000,2026-03-01,24,ORDERED
PO-262413-03,EQ-262413-03,26 24 13,VoltEdge,VoltEdge VS-2500 Switchboard,13500000,2026-03-01,26,ORDERED
PO-262413-04,EQ-262413-04,26 24 13,VoltEdge,VoltEdge VS-1600 Switchboard,10000000,2026-03-01,22,ORDERED
PO-260519-01,EQ-260519-01,26 05 19,VoltEdge,VoltEdge FRLS Cable 1Cx300sqmm,4500000,2026-03-01,12,ORDERED
PO-260519-02,EQ-260519-02,26 05 19,VoltEdge,VoltEdge LSZH Cable 4Cx185sqmm,3800000,2026-03-01,10,ORDERED
PO-260519-03,EQ-260519-03,26 05 19,OmniLink,OmniLink Power Cable 1Cx500sqmm,5200000,2026-03-01,14,ORDERED
PO-260519-04,EQ-260519-04,26 05 19,OmniLink,OmniLink Control Cable 12Cx2.5sqmm,1800000,2026-03-01,8,ORDERED
PO-260519-05,EQ-260519-05,26 05 19,Trident,Trident TC-FRLS 3Cx400sqmm,4800000,2026-03-01,12,ORDERED
PO-260526-01,EQ-260526-01,26 05 26,GreenCell,GreenCell Earthing Grid Kit,2200000,2026-03-01,8,ORDERED
PO-260526-02,EQ-260526-02,26 05 26,GreenCell,GreenCell Lightning Protection,1800000,2026-03-01,10,ORDERED
PO-271500-01,EQ-271500-01,27 15 00,OmniLink,OmniLink Cat6A Copper Cable,2400000,2026-03-01,6,ORDERED
PO-271500-02,EQ-271500-02,27 15 00,OmniLink,OmniLink OM4 Fiber Assembly,3200000,2026-03-01,8,ORDERED
PO-271500-03,EQ-271500-03,27 15 00,PrecisionRack,PrecisionRack Patch Panel Cat6A,1200000,2026-03-01,4,ORDERED
PO-271500-04,EQ-271500-04,27 15 00,PrecisionRack,PrecisionRack Fiber Enclosure,1500000,2026-03-01,6,ORDERED
PO-271500-05,EQ-271500-05,27 15 00,SecureEntry,SecureEntry Structured Cabling Kit,2100000,2026-03-01,8,ORDERED
PO-281000-01,EQ-281000-01,28 10 00,SecureEntry,SecureEntry SE-7000 Controller,2800000,2026-03-01,12,ORDERED
PO-281000-02,EQ-281000-02,28 10 00,SecureEntry,SecureEntry Biometric Reader Bio-400,1200000,2026-03-01,8,ORDERED
PO-281000-03,EQ-281000-03,28 10 00,OmniLink,OmniLink Door Controller DC-200,950000,2026-03-01,6,ORDERED
PO-281000-04,EQ-281000-04,28 10 00,VisionPro,VisionPro Prox Card Reader,450000,2026-03-01,4,ORDERED
PO-282300-01,EQ-282300-01,28 23 00,VisionPro,VisionPro VP-4MP Camera,2800000,2026-03-01,10,ORDERED
PO-282300-02,EQ-282300-02,28 23 00,VisionPro,VisionPro VP-8MP Camera,3500000,2026-03-01,12,ORDERED
PO-282300-03,EQ-282300-03,28 23 00,VisionPro,VisionPro NVR-48 Server,4500000,2026-03-01,14,ORDERED
PO-282300-04,EQ-282300-04,28 23 00,OmniLink,OmniLink Video Analytics Suite,1800000,2026-03-01,6,ORDERED
PO-115300-01,EQ-115300-01,11 53 00,PrecisionRack,PrecisionRack PR-42U Server Rack,850000,2026-03-01,6,ORDERED
PO-115300-02,EQ-115300-02,11 53 00,PrecisionRack,PrecisionRack PR-48U Server Rack,950000,2026-03-01,6,ORDERED
PO-115300-03,EQ-115300-03,11 53 00,PrecisionRack,PrecisionRack Hot Aisle Kit,1200000,2026-03-01,8,ORDERED
PO-115300-04,EQ-115300-04,11 53 00,CryoCore,CryoCore Cold Aisle Containment,1100000,2026-03-01,10,ORDERED
PO-115300-05,EQ-115300-05,11 53 00,CryoCore,CryoCore Overhead Tray System,650000,2026-03-01,6,ORDERED
